HCC_N02;HCC_N04;CodeGroupeComptes;MontantTotal;Nombre_Facture;MontantRegularisation;TauxRegularisation;EcartMoyenRegul
REGION NNO;SECTEUR TRAITEMENT;Z002;12628.42534939191;3161;3439.4134293937682;27.235489257252365;3059.9565751559685
REGION NNO;SECTEUR PICARDIE N-O;Z002;11557.360497654085;4871;1399.6693271056417;12.110631379801182;1020.2124728678421
REGION NNO;SECTEUR BOC. NORMAND;Z002;5796.9485611684195;2120;1073.4362516269678;18.517263700035464;693.97939738916807
REGION NNO;SECTEUR P. DE CAEN;Z002;7174.3684975722554;2883;1059.9402829670912;14.77398719240259;680.48342872929152
REGION NNO;SECTEUR PICARDIE SUD;Z002;6082.3181234870644;3067;1044.9466216459271;17.180071815231639;665.48976740812736
REGION NNO;SECTEUR S. ESTUAIRE;Z002;7365.790546427068;2952;1027.1371984462744;13.944697340660998;647.68034420847471
REGION NNO;SECTEUR COLLECTE PAP MEL;Z002;7019.4579411412515;1973;924.557420692444;13.171350671874327;545.10056645464419
REGION NNO;SECTEUR DI & DECHETERIES NORD;Z002;6733.4748955985206;3318;891.600838762284;13.241318228498896;512.14398452448427
REGION NNO;SECTEUR PICARDIE N-E;Z002;4864.1517697309828;2797;771.19701121288529;15.854707001782906;391.74015697508554
REGION NNO;SECTEUR SEINE EURE;Z002;12760.176853848567;5213;598.83533051896109;4.6930018085003873;219.37847628116134
REGION NNO;SECTEUR NORD CVE;Z002;17124.544391525029;1387;421.57218227958691;2.4618008668786762;42.115328041787166
REGION NNO;SECTEUR ASSAINISSEMENT;Z002;1228.3220687489522;1139;365.37263072752944;29.745670131911083;-14.084223510270306
REGION NNO;SECTEUR COLLECTE AUTRES;Z002;1549.1425714035022;718;364.0421096153259;23.499587212654589;-15.414744622473847
REGION NNO;SECTEUR TERR.NORD;Z002;538.85781921720525;463;153.42476117706303;28.472215806377655;-226.03209306073671
REGION NNO;ACTIVITE AUTRE SIEGE;Z005;208.36950338745118;21;104.16910220336914;49.992489548565388;-275.28775203443058
REGION NNO;SECTEUR ATELIER ESTERRA;Z002;1679.6519509587283;1690;97.846279992342033;5.8253901908959387;-281.61057424545771
REGION NNO;DIRECTION RÉGIONALE;Z002;650.22127078628625;420;74.93855938720705;11.525085806034442;-304.51829485059272
REGION NNO;SECTEUR TERR. NDIE;Z002;230.29361917114261;99;69.189478302001959;30.044027511931986;-310.26737593579776
REGION NNO;SECTEUR LILEBO;Z002;1234.8184304649906;739;63.068099826812762;5.1074796318891567;-316.38875441098696
REGION NNO;SECTEUR NORD CVE;Z003;391.01651953124997;9;43.34730078125;11.085797815707295;-336.10955345654975
REGION NNO;SECTEUR ATELIER MAINTENANCE;Z002;418.66022071391319;1150;28.947980069160465;6.9144329069041746;-350.5088741686393
REGION NNO;ACTIVITE AUTRE SIEGE;Z002;86.212299316406245;9;14.0;16.238982269361411;-365.45685423779975
REGION NNO;SECTEUR BOC. NORMAND;Z005;4.2406999969482424;5;4.2406999969482424;100.0;-375.21615424085149
REGION NNO;SECTEUR BOC. NORMAND;Z003;22.367150161743165;15;2.55706005859375;11.432212150868253;-376.89979417920597
REGION NNO;SECTEUR TERR. FAP;Z002;39.81116003322601;114;1.7996500091552736;4.5204661397791552;-377.65720422864445
REGION NNO;SECTEUR DI & DECHETERIES NORD;Z003;2.075590026855469;3;0.4;19.271628540536128;-379.05685423779977
REGION NNO;SECTEUR SEINE EURE;Z005;0.254;1;0.254;100.0;-379.20285423779973
REGION NNO;SECTEUR AUTRES NORD;Z002;2.5;1;0.0;0.0;-379.45685423779975
REGION NNO;SECTEUR SEINE EURE;Z003;491.487416595459;14;0.0;0.0;-379.45685423779975
REGION NNO;SECTEUR PICARDIE SUD;Z003;261.03127246093749;6;0.0;0.0;-379.45685423779975
REGION NNO;SECTEUR TERR.NORD;Z003;15.54366015625;1;0.0;0.0;-379.45685423779975
REGION NNO;SECTEUR PICARDIE N-O;Z003;39.278439453125017;10;0.0;0.0;-379.45685423779975
REGION NNO;SECTEUR P. DE CAEN;Z003;46.885439453125;2;0.0;0.0;-379.45685423779975
REGION NNO;SECTEUR TERR. NDIE;Z003;1.35;1;0.0;0.0;-379.45685423779975
REGION NNO;SECTEUR P. DE CAEN;Z005;5.80589990234375;2;0.0;0.0;-379.45685423779975
REGION NNO;SECTEUR PICARDIE N-O;Z005;0.473;2;0.0;0.0;-379.45685423779975
REGION NNO;SECTEUR NORD CVE;Z005;0.2365;1;0.0;0.0;-379.45685423779975
REGION IDF;Moyens communs;Z002;17375.478334763025;11965;5656.6391192817691;32.555300120656604;5221.5466940013175
REGION IDF;Services Industries;Z002;10788.025073389907;1961;1770.6632394275666;16.41322881048119;1335.5708141471148
REGION IDF;MANTOIS SEINE AVAL;Z002;4912.5020708601251;1082;1697.4802143468864;34.554290051417247;1262.3877890664346
REGION IDF;STOCKAGE;Z002;24083.063176619831;2572;1523.035708007812;6.3240946421068065;1087.9432827273602
REGION IDF;SERVICES PARIS SEINE;Z002;7177.565827307345;2169;1281.0986642088867;17.848650852283292;846.00623892843487
REGION IDF;VALORISATION MATIERES - CLASSE 3;Z002;5270.2714485956967;814;1229.3904073448182;23.326889693175072;794.29798206436635
REGION IDF;Valorisation Est Parisien;Z002;15157.036895625437;4301;1124.7056291828155;7.4203529154661068;689.61320390236369
REGION IDF;Services Nord Parisien;Z002;4492.7772043235327;994;862.34722922468188;19.194079519340946;427.2548039442301
REGION IDF;Services Est Parisien;Z002;5400.3487340089941;1683;830.84408135795638;15.385007937092468;395.75165607750461
REGION IDF;Valorisation Nord Parisien;Z002;10902.926700756538;2817;716.92782874202783;6.5755539628848583;281.83540346157605
REGION IDF;TRI AGGLO PARISIENNE;Z002;2230.46140889764;1091;561.85576162529;25.190113551571187;126.76333634483825
