IdService;IdSecteur;Region;Territoire;Secteur;IdCop;AnneeService;MoisService;SemaineService;JourService;DateService;CodeVehicule;LibelleVehicule;CodeTypeVehicule;LibTypeVehicule;CodeService;LibelleService;CodeSecteur;NumeroTour;LibelleAgence;CodeActivite;ContratLibelle;NbVidage;TempsCollecteHorsInterruption;TempsPause;TempsHLPHorsInterruption;TempsTotalHorsInterruption;KmCollecte;KmHLP;KmTotal;CodeDechet;Tonnage;TonnageHeureCollecte;DATEDEBUT
1039759234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;5;20;LUNDI;11/05/2020;R10844;R10844  BICOMP 26T;BOM2518;BOM  bicompartimentée >=19m3 avec LC GO + AD Blue;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;6,6;0,33;0,87;7,47;125;9;134;PC+PL+ME;0,84;0,13;11/05/2020 05:30
1038222234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;4;18;MERCREDI;29/04/2020;R10844;R10844  BICOMP 26T;BOM2518;BOM  bicompartimentée >=19m3 avec LC GO + AD Blue;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;4,4;1,52;1,27;5,67;79;21;100;PC+PL+ME;0,94;0,21;29/04/2020 05:45
1027940234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;3;10;JEUDI;05/03/2020;R10844;R10844  BICOMP 26T;BOM2518;BOM  bicompartimentée >=19m3 avec LC GO + AD Blue;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;6,55;0,33;2,83;9,38;100;7;107;PC+PL+ME;1,16;0,18;05/03/2020 05:30
1051938234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;7;28;MERCREDI;08/07/2020;R10844;R10844  BICOMP 26T;BOM2518;BOM  bicompartimentée >=19m3 avec LC GO + AD Blue;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;5;;0,88;5,88;70;23;93;PC+PL+ME;1,06;0,21;08/07/2020 04:54
1062629234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;9;37;MERCREDI;09/09/2020;R10844;R10844  BICOMP 26T;BOM2518;BOM  bicompartimentée >=19m3 avec LC GO + AD Blue;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;7,12;0,33;1,55;8,67;102;25;127;PC+PL+ME;1,36;0,19;09/09/2020 05:34
918177234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2018;11;45;JEUDI;08/11/2018;R10723;R10723;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;069A;069A CC Derval BC Je Paire;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;4,52;0,6;1,72;6,23;26;11;37;OM;4,72;1,05;08/11/2018 05:36
1035581234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;4;16;MERCREDI;15/04/2020;R10838;R10838  Bi comp 26T;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;4,72;;1,38;6,1;69;38;107;OM;3,68;0,78;15/04/2020 05:32
1034025234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;4;15;JEUDI;09/04/2020;R10838;R10838  Bi comp 26T;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;4,55;;0,85;5,4;59;5;64;PC+PL+ME;1,24;0,27;09/04/2020 05:30
967154234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2019;6;26;LUNDI;24/06/2019;R10723;R10723;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;6,77;0,33;1,4;8,17;115;6;121;PC+PL+ME;0,58;0,09;24/06/2019 05:17
1057142234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;8;32;LUNDI;03/08/2020;R10838;R10838  Bi comp 26T;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;7,37;;0,98;8,35;106;7;113;OM;2,8;0,38;03/08/2020 05:46
